FID,OBJECTID,HUC12,TOHUC,AREASQKM,contrib_HUCs_count,Total_area,Total_Med_Vol,Model_Med_vol,Pred_Med_Vol,Vol_upstrmHUC
0,88591,171100050101,171100050102,116.17,1,116.17,176638.65,0,176638.65,176638.65
1,88592,171100050102,171100050203,96.88,2,213.05,147669.39,0,147669.39,321305.05
2,88593,171100050201,171100050203,109.33,1,109.33,166374.55,0,166374.55,166374.55
3,88594,171100050202,171100050203,40.14,1,40.14,61915.53,0,61915.53,61915.53
4,88595,171100050203,171100050303,113.95,5,476.47,173308.24,0,173308.24,710808.47
8,88751,171100050301,171100050302,57.5,1,57.5,88263.85,0,88263.85,88263.85
5,88596,171100050302,171100050303,87.97,2,145.47,134263.08,0,134263.08,220519.25
6,88597,171100050303,171100050305,108.88,8,730.82,165698.98,0,165698.98,1083975.58
7,88598,171100050304,171100050305,84.56,1,84.56,129127.51,0,129127.51,129127.51
9,88752,171100050305,171100050306,115.89,10,931.27,176218.65,0,176218.65,1376777.02
10,88753,171100050306,171100050602,59.47,11,990.74,91246.34,0,91246.34,1463473.14
11,88754,171100050401,171100050405,88.05,1,88.05,134383.53,0,134383.53,134383.53
14,88856,171100050402,171100050404,41.68,1,41.68,64258.3,0,64258.3,64258.3
15,88857,171100050403,171100050404,46.94,1,46.94,72251.65,0,72251.65,72251.65
16,88858,171100050404,171100050405,86.41,3,175.03,131914.01,0,131914.01,264667.73
12,88755,171100050405,171100050603,86.03,5,349.11,131341.71,0,131341.71,523001.35
17,88859,171100050501,171100050502,139.39,1,139.39,211424.35,0,211424.35,211424.35
18,88860,171100050502,171100050505,81.02,2,220.41,123793.19,0,123793.19,332252.45
19,88861,171100050503,171100050504,86.23,1,86.23,131642.92,0,131642.92,131642.92
20,88862,171100050504,171100050505,100.91,2,187.14,153727.52,0,153727.52,282724.14
21,88863,171100050505,171100050607,153.67,5,561.22,232777.31,0,232777.31,835392.09
22,88864,171100050601,171100050602,139.8,1,139.8,212037.82,0,212037.82,212037.82
13,88756,171100050602,171100050603,131.16,13,1261.7,199104.74,0,199104.74,1857649.23
23,88865,171100050603,171100050607,117.13,19,1727.94,178078.56,0,178078.56,2533334.5
24,88866,171100050604,171100050607,81.54,1,81.54,124576.96,0,124576.96,124576.96
25,88867,171100050605,171100050606,105.92,1,105.92,161254.29,0,161254.29,161254.29
26,88868,171100050606,171100050607,70.69,2,176.61,108208.7,0,108208.7,267024.49
27,88869,171100050607,171100050704,61.99,28,2609.3,95059.56,0,95059.56,3804271.08
28,88870,171100050701,171100050702,73.43,1,73.43,112345.26,0,112345.26,112345.26
29,88871,171100050702,171100050703,97.76,2,171.19,148992.54,0,148992.54,258938.69
30,88872,171100050703,171100050704,106.58,3,277.77,162245.48,0,162245.48,417413.13
31,88873,171100050704,171100050708,51.89,32,2938.96,79762.83,0,79762.83,4278027.54
32,88874,171100050705,171100050708,59.09,1,59.09,86372.66,86372.65607,90671.14,90671.14
33,88875,171100050706,171100050708,72.6,1,72.6,99263.8,99263.80423,111092.44,111092.44
34,88876,171100050707,171100050708,100.55,1,100.55,186346.47,186346.4701,153186.48,153186.48
35,88877,171100050708,171100050901,70.42,36,3241.62,107800.96,0,107800.96,4712347.73
36,88878,171100050801,171100050802,57.08,1,57.08,87627.81,0,87627.81,87627.81
37,88879,171100050802,171100050804,93.85,2,150.93,143112.29,0,143112.29,228682.33
38,88880,171100050803,171100050804,61.07,1,61.07,93667.68,0,93667.68,93667.68
39,88881,171100050804,171100050805,144.93,4,356.93,219711.69,0,219711.69,534556.6
40,88882,171100050805,171100050905,122.74,5,479.67,186489.9,0,186489.9,715517.65
41,88883,171100050901,171100050905,85.27,37,3326.89,130197.02,0,130197.02,4834609.92
42,88884,171100050902,171100050903,49.18,1,49.18,75651.91,0,75651.91,75651.91
43,88885,171100050903,171100050905,83.25,2,132.43,127153.87,0,127153.87,201006.49
44,88886,171100050904,171100050905,68.83,1,68.83,120517.21,120517.2077,105399.44,105399.44
45,88887,171100050905,171100051101,60.88,46,4068.7,93380.19,0,93380.19,5896557.44
46,88888,171100051001,171100051002,121.79,1,121.79,185065.89,0,185065.89,185065.89
47,88889,171100051002,171100051003,102.87,2,224.66,156672.71,0,156672.71,338571.71
48,89048,171100051003,171100051005,88.5,3,313.16,135061.03,0,135061.03,469833.47
