FID,OBJECTID,OBJECTID,HUC12,TOHUC,AREASQKM,contrib_HUCs_count,Total_area,Total_Med_Vol,Modeled_Median_vol,Pred_Med_Vol,Vol_upstreamHUCarea
0,88591,88591,1.711E+11,1.711E+11,116.17,1,116.17,176638.65,0,176638.6497,176638.6497
1,88592,88592,1.711E+11,1.711E+11,96.88,2,213.05,147669.39,0,147669.3914,321305.0515
2,88593,88593,1.711E+11,1.711E+11,109.33,1,109.33,166374.55,0,166374.5457,166374.5457
3,88594,88594,1.711E+11,1.711E+11,40.14,1,40.14,61915.53,0,61915.5292,61915.52923
4,88595,88595,1.711E+11,1.711E+11,113.95,5,476.47,173308.24,0,173308.236,710808.4746
5,88596,88596,1.711E+11,1.711E+11,87.97,2,145.47,134263.08,0,134263.0754,220519.2533
6,88597,88597,1.711E+11,1.711E+11,108.88,8,730.82,165698.98,0,165698.9775,1083975.581
7,88598,88598,1.711E+11,1.711E+11,84.56,1,84.56,129127.51,0,129127.506,129127.506
8,88751,88751,1.711E+11,1.711E+11,57.5,1,57.5,88263.85,0,88263.8454,88263.84541
9,88752,88752,1.711E+11,1.711E+11,115.89,10,931.27,176218.65,0,176218.6453,1376777.018
10,88753,88753,1.711E+11,1.711E+11,59.47,11,990.74,91246.34,0,91246.3355,1463473.145
11,88754,88754,1.711E+11,1.711E+11,88.05,1,88.05,134383.53,0,134383.5253,134383.5253
12,88755,88755,1.711E+11,1.711E+11,86.03,5,349.11,131341.71,0,131341.7095,523001.3548
13,88756,88756,1.711E+11,1.711E+11,131.16,13,1261.7,199104.74,0,199104.7425,1857649.228
14,88856,88856,1.711E+11,1.711E+11,41.68,1,41.68,64258.3,0,64258.2956,64258.29558
15,88857,88857,1.711E+11,1.711E+11,46.94,1,46.94,72251.65,0,72251.65,72251.64998
16,88858,88858,1.711E+11,1.711E+11,86.41,3,175.03,131914.01,0,131914.0052,264667.7284
17,88859,88859,1.711E+11,1.711E+11,139.39,1,139.39,211424.35,0,211424.3514,211424.3514
18,88860,88860,1.711E+11,1.711E+11,81.02,2,220.41,123793.19,0,123793.1914,332252.4468
19,88861,88861,1.711E+11,1.711E+11,86.23,1,86.23,131642.92,0,131642.922,131642.922
20,88862,88862,1.711E+11,1.711E+11,100.91,2,187.14,153727.52,0,153727.5162,282724.1398
21,88863,88863,1.711E+11,1.711E+11,153.67,5,561.22,232777.31,0,232777.3149,835392.0881
22,88864,88864,1.711E+11,1.711E+11,139.8,1,139.8,212037.82,0,212037.8248,212037.8248
23,88865,88865,1.711E+11,1.711E+11,117.13,19,1727.94,178078.56,0,178078.5616,2533334.497
24,88866,88866,1.711E+11,1.711E+11,81.54,1,81.54,124576.96,0,124576.957,124576.957
25,88867,88867,1.711E+11,1.711E+11,105.92,1,105.92,161254.29,0,161254.2929,161254.2929
26,88868,88868,1.711E+11,1.711E+11,70.69,2,176.61,108208.7,0,108208.6963,267024.4934
27,88869,88869,1.711E+11,1.711E+11,61.99,28,2609.3,95059.56,0,95059.5622,3804271.08
28,88870,88870,1.711E+11,1.711E+11,73.43,1,73.43,112345.26,0,112345.2594,112345.2594
29,88871,88871,1.711E+11,1.711E+11,97.76,2,171.19,148992.54,0,148992.5429,258938.6917
30,88872,88872,1.711E+11,1.711E+11,106.58,3,277.77,162245.48,0,162245.4811,417413.1267
31,88873,88873,1.711E+11,1.711E+11,51.89,32,2938.96,79762.83,0,79762.8305,4278027.543
32,88874,88874,1.711E+11,1.711E+11,59.09,1,59.09,86372.66,86372.6561,90671.1381,90671.13807
