"","HUC12","Total_Accum_Vol","contrib_HUCs_count","contrib_HUCs"
"1","171100050101",176638.65,1,"171100050101"
"2","171100050102",324308.04,2,"171100050102-171100050101"
"3","171100050201",166374.55,1,"171100050201"
"4","171100050202",61915.53,1,"171100050202"
"5","171100050203",725906.36,5,"171100050203-171100050102-171100050201-171100050202-171100050101"
"6","171100050301",88263.85,1,"171100050301"
"7","171100050302",222526.93,2,"171100050302-171100050301"
"8","171100050303",1114132.27,8,"171100050303-171100050203-171100050302-171100050102-171100050201-171100050202-171100050301-171100050101"
"9","171100050304",129127.51,1,"171100050304"
"10","171100050305",1419478.43,10,"171100050305-171100050303-171100050304-171100050203-171100050302-171100050102-171100050201-171100050202-171100050301-171100050101"
"11","171100050306",1510724.77,11,"171100050306-171100050305-171100050303-171100050304-171100050203-171100050302-171100050102-171100050201-171100050202-171100050301-171100050101"
"12","171100050401",134383.53,1,"171100050401"
"13","171100050402",64258.3,1,"171100050402"
"14","171100050403",72251.65,1,"171100050403"
"15","171100050404",268423.96,3,"171100050404-171100050402-171100050403"
"16","171100050405",534149.2,5,"171100050405-171100050401-171100050404-171100050402-171100050403"
"17","171100050501",211424.35,1,"171100050501"
"18","171100050502",335217.54,2,"171100050502-171100050501"
"19","171100050503",131642.92,1,"171100050503"
"20","171100050504",285370.44,2,"171100050504-171100050503"
"21","171100050505",853365.29,5,"171100050505-171100050502-171100050504-171100050501-171100050503"
"22","171100050601",212037.82,1,"171100050601"
"23","171100050602",1921867.33,13,"171100050602-171100050306-171100050601-171100050305-171100050303-171100050304-171100050203-171100050302-171100050102-171100050201-171100050202-171100050301-171100050101"
"24","171100050603",2634095.09,19,"171100050603-171100050405-171100050602-171100050401-171100050404-171100050306-171100050601-171100050402-171100050403-171100050305-171100050303-171100050304-171100050203-171100050302-171100050102-171100050201-171100050202-171100050301-171100050101"
"25","171100050604",124576.96,1,"171100050604"
"26","171100050605",161254.29,1,"171100050605"
"27","171100050606",269462.99,2,"171100050606-171100050605"
"28","171100050607",3976559.89,28,"171100050607-171100050505-171100050603-171100050604-171100050606-171100050502-171100050504-171100050405-171100050602-171100050605-171100050501-171100050503-171100050401-171100050404-171100050306-171100050601-171100050402-171100050403-171100050305-171100050303-171100050304-171100050203-171100050302-171100050102-171100050201-171100050202-171100050301-171100050101"
"29","171100050701",112345.26,1,"171100050701"
"30","171100050702",261337.8,2,"171100050702-171100050701"
"31","171100050703",423583.28,3,"171100050703-171100050702-171100050701"
